spirit_name,spirit_price,spirit_stock,spirit_category,Img,Date
Taisteal Explorer Single Malt Scotch Whisky 700ml,318.0,1,whisky,https://cellarmasterwines.com/cdn/shop/products/NewTaistealMaltBottle_533x.png?v=1596786345,2024-08-18
Talisker 10YO Single Malt Scotch Whisky 700ml,588.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/talisker-10-year-old_1_533x.jpg?v=1644301165,2024-08-18
The Balvenie Caribbean Cask Aged 14 Years,898.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/Balvenie14YearOld_533x.jpg?v=1665715621,2024-08-18
The Kurayoshi 12 Years Pure Malt Whisky 700ml,988.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/the-kurayoshi-12yo-pure-malt-new_222f53da-9d61-4842-9648-2c093ae8daea_533x.jpg?v=1622716313,2024-08-18
The Kurayoshi 8 Years Pure Malt Whisky 700ml,728.0,5,whisky,https://cellarmasterwines.com/cdn/shop/products/the-kurayoshi-8yo-pure-malt-new_9fb7a947-688c-451e-95ba-0942a82ca94b_533x.jpg?v=1622716293,2024-08-18
The Macallan 12 Years Old Double Cask Scotch Whisky 700ml,628.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/Medium-MAC_2018_DoubleCask_12YO_BottleCarton_RGB_Tif_1_533x.jpg?v=1647401071,2024-08-18
The Macallan 12 years Sherry Oak Single Malt Scotch Whisky 700ml,798.0,0,whisky,https://cellarmasterwines.com/cdn/shop/products/Macallan-Sherry-Oak-12yrs_533x.jpg?v=1641461087,2024-08-18
The Macallan 18 Years Old Sherry Oak Single Malt 700ml,2888.0,7,whisky,https://cellarmasterwines.com/cdn/shop/products/Macallan-18-Years-Old-Sherry-Oak-Cask-2022-Release-Box-Must-Have-Malts-MHM_533x.jpg?v=1673360908,2024-08-18
The Macallan Classic Cut Single Malt Scotch Whisky (Edition 2023) 700ml,880.0,9,whisky,https://cellarmasterwines.com/cdn/shop/products/ScreenShot2023-02-08at5.15.08PM_533x.png?v=1675847737,2024-08-18
The Macallan The Harmony Collection Intense Arabica Single Malt Scotch Whisky 700ml,2498.0,3,whisky,https://cellarmasterwines.com/cdn/shop/products/image_5eea981c-d7db-492f-8d26-3f1f22fc4517_533x.jpg?v=1676370507,2024-08-18
The Macallan The Harmony Collection Smooth Arabica Single Malt Scotch Whisky 700ml,1998.0,2,whisky,https://cellarmasterwines.com/cdn/shop/products/ScreenShot2023-02-08at5.26.52PM_533x.png?v=1675848429,2024-08-18
The Singleton 12YO Single Malt Whisky 700ml,399.0,1,whisky,https://cellarmasterwines.com/cdn/shop/files/SingleTon12_533x.png?v=1701833104,2024-08-18
The Singleton 15YO Single Malt Scotch Whisky 700ml,688.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/Singelton15_533x.png?v=1622710511,2024-08-18
